,Name,Intro,Link
272,Nanovel,Automatic Fruit-picking Machine,https://finder.startupnationcentral.org/company_page/nanovel
273,Prospera Technologies,Food Production Optimization Solution for the Agriculture Industry,https://finder.startupnationcentral.org/company_page/prospera
274,MilagroAI,Data Abstraction Platform,https://finder.startupnationcentral.org/company_page/MilagroAI
275,NRGene,Genomics Solutions for Agricultural Breeders,https://finder.startupnationcentral.org/company_page/nrgene
276,Saillog,Artificial Intelligence for Pest Management and Disease Identification,https://finder.startupnationcentral.org/company_page/saillog
277,Medva GIS,Spatial Decision-support Systems,https://finder.startupnationcentral.org/company_page/mdvia
278,Airtouch Solar,Autonomous Robotic Solar Panel Cleaning,https://finder.startupnationcentral.org/company_page/airtouch-solar-ltd
279,SupPlant,Plant Sensing Technology,https://finder.startupnationcentral.org/company_page/SupPlant
280,Change Labs,Financial Health AI Platform,https://finder.startupnationcentral.org/company_page/changelabs
281,Phytech,Phytomonitoring Technology for Crop Management,https://finder.startupnationcentral.org/company_page/phytech
282,Metabolic Robots Feeding Solutions,"AI-powered Farming Systems for Poultry, Insects, and Eggs",https://finder.startupnationcentral.org/company_page/metabolic-robots
283,Tevel Aerobotics Technologies,Fleet of Airborne Harvesting Robots for Orchards,https://finder.startupnationcentral.org/company_page/tevel-airobotics
284,LahakX,Agricultural Spraying Technology,https://finder.startupnationcentral.org/company_page/skyx
285,MetoMotion,Robotic System for Greenhouses,https://finder.startupnationcentral.org/company_page/metomotion
286,Movez,AI and IoT Technology for Sports Activities,https://finder.startupnationcentral.org/company_page/movez
287,CartaSense,Wireless Monitoring for Pharmaceutical and Agricultural Logistics,https://finder.startupnationcentral.org/company_page/cartasense
288,Evogene,Computational Predictive Biology Platform,https://finder.startupnationcentral.org/company_page/evogene
289,Equinom,Non-GMO Seed Varieties,https://finder.startupnationcentral.org/company_page/equinom
290,Bioled Eco Light Systems,Horticultural LED Lighting Solutions,https://finder.startupnationcentral.org/company_page/tzuba-vision
291,Farmster,Online Marketplace for Farm Produce and Inputs,https://finder.startupnationcentral.org/company_page/farmzee
292,Brew,Marketing Strategy Platform,https://finder.startupnationcentral.org/company_page/brew
293,FFRobotics,Fully Robotic Fruit Harvester,https://finder.startupnationcentral.org/company_page/ffmh
294,GiliOcean Technology,Smart Aquaculture Products,https://finder.startupnationcentral.org/company_page/subflex
295,Greeneye Technology,AI-based Pest Control Solution for Agriculture,https://finder.startupnationcentral.org/company_page/green-eye
296,ClariFruit,Quality Detection for Produce,https://finder.startupnationcentral.org/company_page/aclartech
297,FruitSpec,Fruit Yield Estimation,https://finder.startupnationcentral.org/company_page/fruitspec
298,Cyabra,Breaking Down Online Conversations to Measure Impact and Authenticity,https://finder.startupnationcentral.org/company_page/cyabra
299,Sency,Mobile App for Encouraging Physical Activity,https://finder.startupnationcentral.org/company_page/fitv
300,Skyline Robotics,Window-cleaning Robots,https://finder.startupnationcentral.org/company_page/skyline-robotics
301,Treat,Pet Avatars and eCommerce Gaming,https://finder.startupnationcentral.org/company_page/treat
302,HTS,Identification and Tracking of Vehicles and Cargo,https://finder.startupnationcentral.org/company_page/hi-tech-solutions-hts
303,ShapeShift Gaming,Game Tracking and Analytics,https://finder.startupnationcentral.org/company_page/shapeshift-gaming
304,Usearch,Search Engines that Mimic the Human Brain,https://finder.startupnationcentral.org/company_page/contextualweb
305,Healthee,AI-powered Health Coverage Assistant,https://finder.startupnationcentral.org/company_page/insurights
306,Vanilla Vida,Natural Flavor Enhancement,https://finder.startupnationcentral.org/company_page/vanilla-vida
307,superwise.ai,Model Observability Platform for High-scale Production,https://finder.startupnationcentral.org/company_page/superwise-ai
308,XRHealth,Virtual Clinic for Rehabilitation and Therapeutic Care,https://finder.startupnationcentral.org/company_page/vrphysio
309,Agrosage,Early Pest and Disease Detection in Greenhouse Farming,https://finder.startupnationcentral.org/company_page/agrosage
310,Order.Chat,Automated Online Restaurant Reservation Service,https://finder.startupnationcentral.org/company_page/order-chat
311,Personetics Technologies,Personalization and Engagement Platform for Financial Services,https://finder.startupnationcentral.org/company_page/personetics
312,Lightricks,Mobile Apps for Visual Editing,https://finder.startupnationcentral.org/company_page/lightricks
313,Lemonade,AI-driven Insurance Provider,https://finder.startupnationcentral.org/company_page/lemonade
314,ciValue,Customer-centric Artificial Intelligence and Monetization Solutions,https://finder.startupnationcentral.org/company_page/civalue
315,AgIT,Livestock Temperature Monitoring,https://finder.startupnationcentral.org/company_page/agit
316,HT BioImaging,Imaging Method for Early Cancer Detection,https://finder.startupnationcentral.org/company_page/ht-bioimaging
317,vBrand,AI Data Platform for Sports Marketing,https://finder.startupnationcentral.org/company_page/vbrand1
318,Automato Robotics,Robot Platform for Agriculture,https://finder.startupnationcentral.org/company_page/automato
319,AgrIOT,Smart Fertilization and Irrigation Recommendations,https://finder.startupnationcentral.org/company_page/agriot
320,REIGO Investments,Real Estate Investment Platform,https://finder.startupnationcentral.org/company_page/reigo-investments
321,Arpeely,Algorithms for Media Acquisition,https://finder.startupnationcentral.org/company_page/arpeely
322,Guardio,Advanced Solutions for Online and Cloud-based Threats,https://finder.startupnationcentral.org/company_page/guardio
323,NETZView,AI-based Solution for Medical Image Decoding,https://finder.startupnationcentral.org/company_page/netzview
324,Meteo-Logic,Weather-driven Energy Commodity Algo-trading,https://finder.startupnationcentral.org/company_page/meteo-logic
325,Riskified,eCommerce Fraud Prevention and Chargeback Protection,https://finder.startupnationcentral.org/company_page/riskified
326,Trigo,Retail Automation Platform,https://finder.startupnationcentral.org/company_page/trigo-vision
327,UVeye,Under-vehicle Inspection System,https://finder.startupnationcentral.org/company_page/uveye
328,Immunai,Peripheral Tissue Analysis,https://finder.startupnationcentral.org/company_page/immunai
329,Maverick Medical AI,AI-based Autodidactic and Autonomous Medical Coding Platform,https://finder.startupnationcentral.org/company_page/maverick-medical-ai
330,Cato Networks,Cloud-based Secure Enterprise Networks,https://finder.startupnationcentral.org/company_page/cato-networks
331,Ascento Medical,AI-based Solution for Treating Dementia,https://finder.startupnationcentral.org/company_page/ascento-medical1
332,Ramon.Space,Space-resilient Super-computer Systems,https://finder.startupnationcentral.org/company_page/ramon-chips
333,Five Sigma,AI Insurance Claim Management Platform,https://finder.startupnationcentral.org/company_page/five-sigma
334,Fibo,Digital Platform for Tax Refunds,https://finder.startupnationcentral.org/company_page/fibo
335,nSure.ai,Fraud Protection and Prevention for Digital Goods,https://finder.startupnationcentral.org/company_page/nsure
336,DocAuthority,Sensitive Data Identification and Protection,https://finder.startupnationcentral.org/company_page/cloudauthority
337,Earnix,"Rating, Pricing, and Product Personalization for Banks and Insurers",https://finder.startupnationcentral.org/company_page/earnix
338,Windward,Predictive Maritime Intelligence,https://finder.startupnationcentral.org/company_page/windward-ltd
339,Weka.IO,Enterprise Storage Solutions,https://finder.startupnationcentral.org/company_page/weka-io
340,Run:AI,Platform for AI Virtualization and Orchestration,https://finder.startupnationcentral.org/company_page/run-ai
341,Cynerio,Cybersecurity for Healthcare Providers,https://finder.startupnationcentral.org/company_page/cynerio
342,Hi.Auto,AI-based Background Noise Elimination Solution,https://finder.startupnationcentral.org/company_page/hi-auto
343,NovaSight,Digital Solutions for Pediatric Vision Care,https://finder.startupnationcentral.org/company_page/novasight
344,Sosivio,AI-based Observability Platform for Kubernetes Environments,https://finder.startupnationcentral.org/company_page/sosivio
345,BrainQ Technologies,Neurology Therapies Using Brain–Computer Interface Technology,https://finder.startupnationcentral.org/company_page/brainq-technologies
346,Coretext Technologies,Self-guiding Legal Affairs Software for Businesses,https://finder.startupnationcentral.org/company_page/coretext-technologies
347,Pecan AI,Deep-learning Predictive Analytics Platform,https://finder.startupnationcentral.org/company_page/pecan
348,Viziblezone,Automotive Collision Avoidance System,https://finder.startupnationcentral.org/company_page/viziblezone
349,Virtutal Spirits,"Chatbot Platform for Lead Generation, Customer Service, and Sales",https://finder.startupnationcentral.org/company_page/virtutal-spirits
350,Mmuze,Conversational Commerce Platform for Retail Businesses,https://finder.startupnationcentral.org/company_page/mmuze
351,Inflowz,AI Platform for Sales Optimization,https://finder.startupnationcentral.org/company_page/inflowz
352,DockTech,Digital Twin for Waterways,https://finder.startupnationcentral.org/company_page/docktech
353,Memic Innovative Surgery,Robot-assisted Surgical Platform,https://finder.startupnationcentral.org/company_page/memic-innovative-surgery
354,snapland,Helping Real Estate Companies Find Hidden Opportunities,https://finder.startupnationcentral.org/company_page/snapland
355,AutoBrains,Automotive Visual Intelligence Platform,https://finder.startupnationcentral.org/company_page/cartica
356,Samurai,Backtesting Algorithm SaaS for Big Data,https://finder.startupnationcentral.org/company_page/samurai
357,8fig,"Custom, Flexible Growth Plan Platform for eCommerce Retailers",https://finder.startupnationcentral.org/company_page/8fig
358,Lendai,AI Lender Financing US Properties for Foreign Investors,https://finder.startupnationcentral.org/company_page/lend-ai
359,ForSight Robotics,Robotic Platform for Ophthalmic Surgery,https://finder.startupnationcentral.org/company_page/forsight-robotics
360,Tamlitz.li,Product Recommendation Platform for WooCommerce,https://finder.startupnationcentral.org/company_page/tamlitz-li
361,Mantis Vision,3D Technology for the Mobile World,https://finder.startupnationcentral.org/company_page/mantis-vision
362,Emedgene,AI-based Platform for Automated Genomic Interpretation,https://finder.startupnationcentral.org/company_page/emedgene
363,Anyword,Marketing Language Optimization Platform,https://finder.startupnationcentral.org/company_page/keywee
364,Feelit Technologies,Nanomaterial-based Sensing Solutions for IoT Applications,https://finder.startupnationcentral.org/company_page/feelit
365,IVIX,Platform for Finding Tax Evasion,https://finder.startupnationcentral.org/company_page/ivix
366,Innovesta Technologies,AI-based Financial Data Analysis,https://finder.startupnationcentral.org/company_page/innovesta
367,MyPart,Song Search and Matching Platform,https://finder.startupnationcentral.org/company_page/mypart
368,6Degrees,Adaptive Hands-free Controller for Connected Devices,https://finder.startupnationcentral.org/company_page/6degrees
369,Playermaker,Motion Tracking and Analysis for Athletes,https://finder.startupnationcentral.org/company_page/motionize
370,Vectored Photonics,Contextual Personal Monitoring and Servicing Platform,https://finder.startupnationcentral.org/company_page/vectored-photonics
371,MDClone,Healthcare Data Analytics Platform,https://finder.startupnationcentral.org/company_page/mdclone
372,Aspectiva,AI for Analyzing Consumer Opinions,https://finder.startupnationcentral.org/company_page/aspectiva
373,Greeneum,Trading Platform for Green Energy Resources,https://finder.startupnationcentral.org/company_page/greeneum
374,Tyto Care,Remote Examination and Consultation with a Physician,https://finder.startupnationcentral.org/company_page/tyto-care
375,Arugga AI Farming,Autonomous Robots for Greenhouse Farming,https://finder.startupnationcentral.org/company_page/pollimate
376,Genoox,Genomic Data Management Platform,https://finder.startupnationcentral.org/company_page/genoox
377,Propel,PR Productivity Platform,https://finder.startupnationcentral.org/company_page/propel
378,EasySend,Platform for Creating and Optimizing Digital Customer Journeys,https://finder.startupnationcentral.org/company_page/easysend
379,Kando,Wastewater Management Solutions,https://finder.startupnationcentral.org/company_page/kando
380,Task Sheriff,AI-based Solution for Bookkeepers and Accountants,https://finder.startupnationcentral.org/company_page/task-sheriff
381,BioCatch,Al-driven Behavioral Biometrics for Cybersecurity,https://finder.startupnationcentral.org/company_page/biocatch
382,HeraMED,Connected Pregnancy Monitoring Solutions for In-home Use,https://finder.startupnationcentral.org/company_page/heramed
383,Atvisor.ai,AI-based Digital Platform for Assistive Technology Consultation,https://finder.startupnationcentral.org/company_page/innitie
384,FeelBetter,Healthcare Optimization Platform for Value-based Health Organizations,https://finder.startupnationcentral.org/company_page/feelbetter
385,Sirona,Workout App for Athletes,https://finder.startupnationcentral.org/company_page/sirona
386,Zirra,Alternative Data-based Trading Analytics,https://finder.startupnationcentral.org/company_page/zirra
387,Curve,Ecommerce Sales Prediction,https://finder.startupnationcentral.org/company_page/curve
388,Variantyx,Advanced Genomic Diagnostic Solutions,https://finder.startupnationcentral.org/company_page/variantyx
389,Algotec,Medical Imaging Management,https://finder.startupnationcentral.org/company_page/algotec
390,Binah.ai,AI-powered Video-based Health and Wellness Monitoring,https://finder.startupnationcentral.org/company_page/binah-ai
391,TimeStamp,Smart Sticker Technology for Tracking Medication Adherence,https://finder.startupnationcentral.org/company_page/timestamp
392,Sapiens International Corporation,Business Software for Insurance and Financial Services,https://finder.startupnationcentral.org/company_page/sapiens
393,Zebra Medical Vision,AI-based Medical Imaging Solutions,https://finder.startupnationcentral.org/company_page/zebra-medical-vision
394,EDAS Healthcare,Instant Detection of Respiratory Infectious Diseases and COVID-19,https://finder.startupnationcentral.org/company_page/edas-healthcare1
395,CVAid Medical,AI-based Stroke Disease Management Platform,https://finder.startupnationcentral.org/company_page/cvaid-medical
396,Fiverr,Marketplace for Freelance Services,https://finder.startupnationcentral.org/company_page/fiverr
397,Flymingo,Warehouse Management Powered by Computer Vision,https://finder.startupnationcentral.org/company_page/flymingo
398,Fixefy,AI Automation Platform for Supply Chain Reconciliations,https://finder.startupnationcentral.org/company_page/fixefy
399,Valerann,Autonomous Traffic Control and Monitoring System,https://finder.startupnationcentral.org/company_page/valerann
400,Kryon,Robotic Process Automation,https://finder.startupnationcentral.org/company_page/kryon-systems
401,FlaskData.io,Real-time Data Collection for Clinical Trials,https://finder.startupnationcentral.org/company_page/flaskdata
402,CRiskCo,Credit Risk Assessment and Application Processing for Businesses,https://finder.startupnationcentral.org/company_page/criskco
403,Joonko,AI-powered Solution for Eliminating Workplace Bias,https://finder.startupnationcentral.org/company_page/joonko-diversity
404,Novotalk,Digital Therapy for People with Speech Disorders,https://finder.startupnationcentral.org/company_page/novotalk
405,Continual,Mobility Experience Analytics,https://finder.startupnationcentral.org/company_page/cellmining
406,Inuitive,3D Imaging Camera Technology,https://finder.startupnationcentral.org/company_page/inuitive
407,1702ai,Real-time Weapon Detection for Security Cameras,https://finder.startupnationcentral.org/company_page/cinedit
408,Trullion,AI-Powered Accounting Software,https://finder.startupnationcentral.org/company_page/smrt1
409,Fashrash,AI Platform Matching Shoppers with Styles,https://finder.startupnationcentral.org/company_page/fashrash
410,Outermeasure,Sustainable Impact Dashboard for eCommerce Businesses,https://finder.startupnationcentral.org/company_page/outermeasure
411,Algonell,Scientific Trading,https://finder.startupnationcentral.org/company_page/algonell-scientific-fx-trading
412,BitMint,Socially Conscious Quantum Cybersecurity Solutions,https://finder.startupnationcentral.org/company_page/bitmint
413,CryptoForest,Algo Trading Bot for Cryptocurrencies,https://finder.startupnationcentral.org/company_page/cryptoforest
414,Grain-Score,Credit Scoring for Agricultural Microfinance,https://finder.startupnationcentral.org/company_page/grain-score
415,Pentaomix,Hyperspectral Data AI Solutions,https://finder.startupnationcentral.org/company_page/pentaomix
416,Cybellum,Cyber Security for Automotive Component Manufacturers and OEMs,https://finder.startupnationcentral.org/company_page/cybellum
417,WSC Sports Technologies,Automatic Video Generation for Sports Events,https://finder.startupnationcentral.org/company_page/w-s-c-sports-technologies
418,PolicyPup,Blockchain-based Auto Insurance Solutions,https://finder.startupnationcentral.org/company_page/policypup
419,DeeCrypt,Cryptocurrency Algo Trading and Deep Learning,https://finder.startupnationcentral.org/company_page/deecrypt
420,Altcoin Consultant,Autonomous Cryptocurrency Trading System,https://finder.startupnationcentral.org/company_page/altcoin-consultant
421,Free,Digital Bank Account for Freelancers,https://finder.startupnationcentral.org/company_page/gigben
422,Dynamic Infrastructure,AI-based Predictive Maintenance Software for Road Infrastructure,https://finder.startupnationcentral.org/company_page/dynamic-infrastructure
423,GeoX Innovations,3D Property Data from Geospatial Imagery for Insurance Companies,https://finder.startupnationcentral.org/company_page/geox-innovations
424,Vault,Artificial-intelligence Solution to Optimize Media Investments,https://finder.startupnationcentral.org/company_page/vault
425,TrialJectory,AI-based Cancer Treatment Decision-support Platform,https://finder.startupnationcentral.org/company_page/trialjectory
426,Simoti,Marketing Automation,https://finder.startupnationcentral.org/company_page/simoti
427,Wisigift,Recommendation Platform for Gifts,https://finder.startupnationcentral.org/company_page/wisigift
428,Valseer,Monetization Tool for Mobile Game Developers,https://finder.startupnationcentral.org/company_page/valseer
429,Champion.ai,Football Gaming Chatbot for Facebook Messenger,https://finder.startupnationcentral.org/company_page/champion-ai
430,GuestsAI,Booking Engine for Hotel Reservations,https://finder.startupnationcentral.org/company_page/guestsai
431,Blyp,eCommerce Analytics Insights,https://finder.startupnationcentral.org/company_page/blyp
432,ChroniSense Medical,Chronic Disease Management,https://finder.startupnationcentral.org/company_page/chronisense-medical
433,IsenseU,Smart Breastfeeding Meter,https://finder.startupnationcentral.org/company_page/momsense
434,CytoReason,Machine Learning for Data-driven Target Discovery and Drug Development,https://finder.startupnationcentral.org/company_page/cytoreason
435,Voyage81,Hyperspectral Imaging from Smartphone Cameras,https://finder.startupnationcentral.org/company_page/voyage81
436,EyePark,Contact-free Driver Authentication,https://finder.startupnationcentral.org/company_page/eyepark
437,DayTwo,Personalized Nutrition Recommendations,https://finder.startupnationcentral.org/company_page/day-two
438,CogniFiber,In-fiber Optical Computing,https://finder.startupnationcentral.org/company_page/cognifiber
439,radd.,Ecommerce Platform for Influencer Engagement,https://finder.startupnationcentral.org/company_page/radd
440,Distribyte,Runtime as a Service,https://finder.startupnationcentral.org/company_page/distribyte
441,Shekel Brainweigh,Mobile Retail Technologies,https://finder.startupnationcentral.org/company_page/shekel-brainweigh
442,Personify.ai,AI Bot-creation Platform for Businesses,https://finder.startupnationcentral.org/company_page/personify-ai
443,3lawgy,Online Legal Marketplace,https://finder.startupnationcentral.org/company_page/3lawgy
444,Pronobia,Business Intelligence and Analytics,https://finder.startupnationcentral.org/company_page/pronobia
445,HumAIn,Training Data as a Service,https://finder.startupnationcentral.org/company_page/humain
446,Trunovate,Large-scale Manufacturing Software,https://finder.startupnationcentral.org/company_page/contel-its
447,Comprendi,Contextual Advertising Automation,https://finder.startupnationcentral.org/company_page/comprendi
448,Seekuence Labs,AI-powered Analytics Platform,https://finder.startupnationcentral.org/company_page/seekuence-labs
449,Qaviton,Automation Testing Platform,https://finder.startupnationcentral.org/company_page/qaviton
450,Missing Link,Experiment Management and Tracking,https://finder.startupnationcentral.org/company_page/missing-link
451,Testim,Test Automation Solution for Agile Teams,https://finder.startupnationcentral.org/company_page/testim
452,Sightec,Visual Situation Awareness System for Safe Autonomous Flights,https://finder.startupnationcentral.org/company_page/sightec
453,Bringg,Delivery Logistics Platform for the Enterprise Market,https://finder.startupnationcentral.org/company_page/bringg
454,Travless,Worldwide Local Incentives for Travelers,https://finder.startupnationcentral.org/company_page/travless
455,Scalez.io,AI-based Personal Fashion Marketplace,https://finder.startupnationcentral.org/company_page/scalez-io
456,Flatspace,Turning Floor Plans into VR Models,https://finder.startupnationcentral.org/company_page/flatspace
457,ViaeAi,Automatic Chatbot Solutions,https://finder.startupnationcentral.org/company_page/viaeai
458,AlgoTrace,Prediction-modeling and Optimization Tool,https://finder.startupnationcentral.org/company_page/algotrace
459,Neteera,Continuous Remote Patient Monitoring Technology,https://finder.startupnationcentral.org/company_page/neteera-technologies
460,DigitalOwl,AI-based Platform for Analyzing and Summarizing Medical Records,https://finder.startupnationcentral.org/company_page/legal-automation
461,Trax,Computer Vision Solution for Retail Intelligence,https://finder.startupnationcentral.org/company_page/trax-technology-solutions
462,Dopamine.ai,Decentralized Global Platform for IP Monetization,https://finder.startupnationcentral.org/company_page/dopamine-ai
463,Aurora Labs,Self-healing Software for Connected Vehicles,https://finder.startupnationcentral.org/company_page/aurora-labs
464,Beaconcure,Automated Clinical Data Validation for Regulatory Submissions,https://finder.startupnationcentral.org/company_page/beaconcure
465,DreaMed Diabetes,Personalized Diabetes Treatment Optimization Solutions,https://finder.startupnationcentral.org/company_page/dreamed-diabetes
466,EndoTech.io,Security Platform for the Blockchain Investment Market,https://finder.startupnationcentral.org/company_page/endotech-io
467,Owlytics Healthcare,Personalized Health Detection App,https://finder.startupnationcentral.org/company_page/owlytics
468,Amigo,Social Mobile App for Connecting with New People,https://finder.startupnationcentral.org/company_page/amigo
469,HeyPlace,Smart Messenger for Places and Events,https://finder.startupnationcentral.org/company_page/wisharound
470,RobotAI,AI-based Software to Transform Cameras into 3D Measurement Devices,https://finder.startupnationcentral.org/company_page/robotai
471,ReSymmetry,Smart Robotic Wheelchair,https://finder.startupnationcentral.org/company_page/resymmetry
472,Spinframe Technologies,Large-scale Vehicle Monitoring Solution,https://finder.startupnationcentral.org/company_page/spinframe360
473,GreenRoad Technologies,Fleet Management Solution,https://finder.startupnationcentral.org/company_page/greenroad
474,Sasha AI,Intelligent Online Shopping Assistant,https://finder.startupnationcentral.org/company_page/sasha-ai
475,GABRIEL,Active Shooter Solution for Public Spaces,https://finder.startupnationcentral.org/company_page/gabriel
476,Gladio,Artificial Intelligence and Machine-learning Model Training Platform,https://finder.startupnationcentral.org/company_page/gladio
477,SafetyFirst,IoT Helmet to Prevent Work Accidents,https://finder.startupnationcentral.org/company_page/safetyfirst
478,Guardian Key,Advanced Child-monitoring App,https://finder.startupnationcentral.org/company_page/guardian-key
479,Pentom,Automated Penetration Testing,https://finder.startupnationcentral.org/company_page/pentom
480,Fabric,On-demand Logistics Platform,https://finder.startupnationcentral.org/company_page/commonsense-robotics
481,Zone7,AI-powered Injury-prediction Solution for Athletes,https://finder.startupnationcentral.org/company_page/futbol-ai
482,Hyro,Plug-and-play Conversational AI and Natural Language Automation,https://finder.startupnationcentral.org/company_page/airbud-technologies
483,Omnisol,Research Management Systems for Academia and Industry,https://finder.startupnationcentral.org/company_page/omnisol
484,SiteAware,Digital Verification Platform for Construction Projects,https://finder.startupnationcentral.org/company_page/dronomy
485,Pairser,Task Management Platform for DevOps,https://finder.startupnationcentral.org/company_page/pairser
486,Phish.AI,Real-time Zero-day Phishing Prevention,https://finder.startupnationcentral.org/company_page/phish-ai
487,Convizit,Digital Experience Data Platform,https://finder.startupnationcentral.org/company_page/convizit
488,Millel Capital,Automated Trading Systems Technologies,https://finder.startupnationcentral.org/company_page/millel-capital
489,Darebiz,New Derivatives Exchanges,https://finder.startupnationcentral.org/company_page/darebiz
490,eToro,Social Trading Network,https://finder.startupnationcentral.org/company_page/etoro
491,Sitaro,Security for IoT Devices and Networks,https://finder.startupnationcentral.org/company_page/sitaro
492,InElint Security,Cyber-attack Intelligence Network,https://finder.startupnationcentral.org/company_page/inelint
493,fitto,"Smart, Trackable Packaging for Supplements",https://finder.startupnationcentral.org/company_page/fitto-world
494,TrueNorth Systems,Cargo Claim Management System,https://finder.startupnationcentral.org/company_page/truenorth-systems
495,SafeOnGo,Personal Safety Solutions for Business Travelers,https://finder.startupnationcentral.org/company_page/transportty
496,EyeSafe Labs,Security Data Management,https://finder.startupnationcentral.org/company_page/eyesafe-labs
497,iPhysicist,Optical Systems Design and Production House,https://finder.startupnationcentral.org/company_page/iphysicist
498,AbiliSense,Smart Listening Technology for IoT Devices,https://finder.startupnationcentral.org/company_page/abilisense
499,nRoll,Programmatic Media Buying,https://finder.startupnationcentral.org/company_page/nroll
500,Sayata,Commercial Risk Platform for Insurance Brokers and Carriers,https://finder.startupnationcentral.org/company_page/sayata-labs
501,Size PPL,AI Body Measurement System,https://finder.startupnationcentral.org/company_page/size-ppl
502,HealthAwear.ai,AI-based Software for Calculating Personal Risks,https://finder.startupnationcentral.org/company_page/healthawear-ai
503,Membit Bot,Managed AI Chatbot Solution,https://finder.startupnationcentral.org/company_page/membit
504,Fast Simon,AI-driven Conversion Optimization for Online Retailers,https://finder.startupnationcentral.org/company_page/instantsearch
505,PhysiMax Technologies,AI-powered Musculoskeletal Self-assessment and Optimization Platform,https://finder.startupnationcentral.org/company_page/physihome-technologies
506,EQUAL,Circular Economy Marketplace,https://finder.startupnationcentral.org/company_page/equal
507,Ai Sales,Customer Behavior Predictor,https://finder.startupnationcentral.org/company_page/ai-sales1
508,SnapAid,Solution for Taking Better Photos,https://finder.startupnationcentral.org/company_page/snapaid
509,Como,End-to-end Customer Engagement Tools,https://finder.startupnationcentral.org/company_page/conduit
510,Nimblix,Personalized In-store Shopping,https://finder.startupnationcentral.org/company_page/nimblix
511,Newt,Digital Nutritional Support Solution,https://finder.startupnationcentral.org/company_page/newt
512,Belong,Social and Professional Network for Patients,https://finder.startupnationcentral.org/company_page/belong
513,Mellanox Technologies,Server Farm Connectivity and Storage Solutions,https://finder.startupnationcentral.org/company_page/mellanox-technologies
514,Barrel Protocol,Consumer Data Compliance Automation,https://finder.startupnationcentral.org/company_page/barrel-protocol
515,Shield.,Communications Compliance Platform,https://finder.startupnationcentral.org/company_page/shield-financial-compliance
516,Rubiix,Social Spending Ecosystem and App,https://finder.startupnationcentral.org/company_page/rubiix
517,Boomerang Credit,Open Banking Overdraft Lender,https://finder.startupnationcentral.org/company_page/boomerang-credit
518,Deep Innovations,Intelligent Automation and Security for Pools,https://finder.startupnationcentral.org/company_page/deep-innovations
519,EFA Technologies,Infectious Disease Diagnostic System,https://finder.startupnationcentral.org/company_page/efa-technologies
520,elminda,Measuring Brain Health,https://finder.startupnationcentral.org/company_page/elminda
521,Over.ai,Mobile App Personalization Solutions,https://finder.startupnationcentral.org/company_page/sensiya
522,InfinityAR,Augmented Reality Platform,https://finder.startupnationcentral.org/company_page/infinityar
523,Redis Labs,Real-time Database for Business-critical Applications,https://finder.startupnationcentral.org/company_page/redis-labs
524,Knowmail,Personalized Artificial Intelligence for Inbox Management,https://finder.startupnationcentral.org/company_page/knowmail
525,Essence,"Security, Smart Home, and Telecare",https://finder.startupnationcentral.org/company_page/essence-smartcare
526,Waycare,AI-driven Mobility Platform for Smart Cities,https://finder.startupnationcentral.org/company_page/waycare
527,nipendo,RPA and AI Platform for Purchase-to-pay Process Automation,https://finder.startupnationcentral.org/company_page/nipendo
528,Iguazio,Machine-learning Operations Platform,https://finder.startupnationcentral.org/company_page/iguaz-io
529,Urbanico,Municipal Data Marketplace for Smart City Product Developers,https://finder.startupnationcentral.org/company_page/urbanico
530,BigPanda,IT Alert Consolidation,https://finder.startupnationcentral.org/company_page/bigpanda
531,Kahun Medical,Mapped Medical Knowledge for Better Patient Outcomes,https://finder.startupnationcentral.org/company_page/kahun-medical
532,temi,Personal Robotics,https://finder.startupnationcentral.org/company_page/temi
533,TravelSuit,Online Platform for Business Travel,https://finder.startupnationcentral.org/company_page/travelsuit
534,ScoutCam,AI-based Predictive Maintenance and Monitoring for Industry 4.0,https://finder.startupnationcentral.org/company_page/scoutcam
535,FituUp,Video Conferencing for Fitness Classes,https://finder.startupnationcentral.org/company_page/fituup
536,AdiMap,Financial Intelligence Platform,https://finder.startupnationcentral.org/company_page/adimap
537,OrCam Technologies,Assistive Technology for People with Vision Impairment or Reading Disabilities,https://finder.startupnationcentral.org/company_page/orcam-technologies
538,Kamidoo,Dynamic Infographic Creator,https://finder.startupnationcentral.org/company_page/kamidoo
539,Traffic-Int,Facial Recognition Technology,https://finder.startupnationcentral.org/company_page/traffic
540,SeaErra,AI-based Underwater Imaging Technology,https://finder.startupnationcentral.org/company_page/seaerra
541,ONEDECK,SaaS for Trading and Tracking Crypto Assets,https://finder.startupnationcentral.org/company_page/onedeck
542,Engage Technologies,Automatic Code Generation for IoT Devices,https://finder.startupnationcentral.org/company_page/engage-technologies
543,BrainPal,Simple Website Personalization Solution,https://finder.startupnationcentral.org/company_page/brainpal
544,EcoPlant,Energy-saving SaaS Solution for Compressed Air Systems,https://finder.startupnationcentral.org/company_page/ecoplant
545,ARpalus,AR-based Planogram Solution for Retailers and CPG Manufacturers,https://finder.startupnationcentral.org/company_page/arpalus1
546,Optimove,Personalized Customer Marketing,https://finder.startupnationcentral.org/company_page/optimove
547,Drone Master,Drone Operations Management Software,https://finder.startupnationcentral.org/company_page/drone-master
548,Searchin,Job Search Platform,https://finder.startupnationcentral.org/company_page/searchin
549,Comvert,AI-based Conversion Rate Optimization,https://finder.startupnationcentral.org/company_page/comvert
